STATIONS_ID;MESS_DATUM;QN_2;V_TE002;V_TE005;V_TE010;V_TE020;V_TE050;V_TE100;eor
       2494;2000070107;   10;  14.4;  14.5;  14.8;  15.9;  17.6;-999;eor
       2494;2000070114;   10;  18.1;  18.2;  18.1;  17.0;  17.2;-999;eor
       2494;2000070121;   10;  16.2;  16.5;  17.1;  17.3;  17.4;-999;eor
       2494;2000070207;   10;  15.0;  16.0;  14.9;  15.2;  17.2;-999;eor
       2494;2000070214;   10;  27.8;  26.5;  24.6;  20.8;  16.4;-999;eor
       2494;2000070221;   10;  20.3;  21.0;  21.4;  21.0;  18.4;-999;eor
       2494;2000070307;   10;  18.8;  18.8;  18.7;  18.6;  18.6;-999;eor
       2494;2000070314;   10;  27.1;  26.0;  24.4;  21.2;  18.6;-999;eor
       2494;2000070321;   10;  16.7;  18.4;  19.3;  20.1;  19.3;-999;eor
       2494;2000070407;   10;  17.4;  17.2;  17.0;  17.5;  18.9;-999;eor
       2494;2000070414;   10;  28.6;  27.6;  25.8;  21.9;  18.7;-999;eor
       2494;2000070421;   10;  19.8;  20.0;  20.8;  21.2;  19.5;-999;eor
       2494;2000070507;   10;  16.2;  16.5;  17.3;  18.3;  19.4;-999;eor
       2494;2000070514;   10;  24.9;  23.8;  22.6;  19.8;  18.9;-999;eor
       2494;2000070521;   10;  17.8;  18.2;  19.0;  19.8;  19.3;-999;eor
       2494;2000070607;   10;  17.3;  17.1;  17.2;  16.9;  18.9;-999;eor
       2494;2000070614;   10;  24.7;  23.8;  22.7;  20.1;  18.8;-999;eor
       2494;2000070621;   10;  18.1;  18.8;  19.9;  20.4;  19.3;-999;eor
       2494;2000070707;   10;  15.3;  15.4;  15.8;  17.2;  19.0;-999;eor
       2494;2000070714;   10;  17.7;  17.8;  17.9;  17.8;  18.5;-999;eor
       2494;2000070721;   10;  14.1;  14.7;  15.6;  17.2;  18.3;-999;eor
       2494;2000070807;   10;  13.2;  12.8;  13.3;  14.7;  17.6;-999;eor
       2494;2000070814;   10;  16.9;  16.9;  17.0;  16.8;  17.3;-999;eor
       2494;2000070821;   10;  14.2;  14.4;  15.3;  16.4;  17.3;-999;eor
       2494;2000070907;   10;  14.4;  14.5;  14.5;  15.2;  17.1;-999;eor
       2494;2000070914;   10;  14.8;  14.8;  14.9;  15.2;  16.8;-999;eor
       2494;2000070921;   10;  14.7;  15.1;  15.6;  16.4;  16.9;-999;eor
       2494;2000071007;   10;  15.0;  14.9;  14.9;  15.3;  16.7;-999;eor
