STATIONS_ID;MESS_DATUM;QN_2;V_TE002;V_TE005;V_TE010;V_TE020;V_TE050;V_TE100;eor
       2521;1978010107;    5;   0.2;   0.4;   1.3;   2.6;   5.5;-999;eor
       2521;1978010114;    5;   1.2;   1.3;   1.5;   2.6;   5.5;   8.6;eor
       2521;1978010121;    5;   0.4;   0.7;   1.5;   2.6;   5.5;-999;eor
       2521;1978010207;    5;  -0.5;   0.3;   1.2;   2.6;   5.4;-999;eor
       2521;1978010214;    5;   0.1;   0.5;   1.3;   2.6;   5.4;   8.5;eor
       2521;1978010221;    5;   0.1;   0.4;   1.3;   2.6;   5.4;-999;eor
       2521;1978010307;    5;   0.3;   0.4;   1.2;   2.5;   5.4;-999;eor
       2521;1978010314;    5;   2.6;   1.4;   1.4;   2.5;   5.4;   8.5;eor
       2521;1978010321;    5;   1.4;   1.5;   1.8;   2.6;   5.4;-999;eor
       2521;1978010407;    5;   0.5;   0.8;   1.6;   2.6;   5.4;-999;eor
       2521;1978010414;    5;   0.7;   0.9;   1.5;   2.6;   5.4;   8.5;eor
       2521;1978010421;    5;   0.3;   0.7;   1.5;   2.6;   5.4;-999;eor
       2521;1978010507;    5;   0.1;   0.5;   1.3;   2.4;   5.3;-999;eor
       2521;1978010514;    5;   0.1;   0.6;   1.4;   2.5;   5.3;   8.4;eor
       2521;1978010521;    5;  -0.1;   0.3;   1.2;   2.4;   5.3;-999;eor
       2521;1978010607;    5;  -1.2;  -0.1;   1.0;   2.3;   5.3;-999;eor
       2521;1978010614;    5;  -0.6;   0.0;   1.0;   2.3;   5.3;   8.4;eor
       2521;1978010621;    5;  -0.6;  -0.1;   0.9;   2.3;   5.3;-999;eor
       2521;1978010707;    5;  -0.6;  -0.1;   0.9;   2.2;   5.3;-999;eor
       2521;1978010714;    5;  -0.4;   0.0;   1.0;   2.3;   5.3;   8.4;eor
       2521;1978010721;    5;  -0.6;  -0.1;   0.9;   2.2;   5.3;-999;eor
       2521;1978010807;    5;  -0.8;  -0.2;   0.9;   2.2;   5.3;-999;eor
       2521;1978010814;    5;  -0.4;  -0.1;   0.9;   2.2;   5.3;   8.3;eor
       2521;1978010821;    5;  -1.6;  -0.5;   0.7;   2.1;   5.3;-999;eor
       2521;1978010907;    5;  -1.1;  -0.7;   0.7;   2.0;   5.2;-999;eor
       2521;1978010914;    5;  -0.4;  -0.4;   0.7;   2.0;   5.2;   8.3;eor
       2521;1978010921;    5;  -0.5;  -0.4;   0.7;   2.0;   5.2;-999;eor
       2521;1978011007;    5;  -0.5;  -0.4;   0.6;   2.0;   5.2;-999;eor
       2521;1978011014;    5;  -0.3;   0.0;   0.9;   2.1;   5.2;   8.3;eor
       2521;1978011021;    5;  -0.1;   0.0;   0.9;   2.2;   5.2;-999;eor
       2521;1978011107;    5;  -0.5;   0.0;   0.8;   2.1;   5.2;-999;eor
       2521;1978011114;    5;  -0.4;   0.0;   0.8;   2.1;   5.2;   8.2;eor
       2521;1978011121;    5;  -0.4;   0.0;   0.8;   2.0;   5.2;-999;eor
       2521;1978011207;    5;  -0.3;   0.0;   0.8;   2.0;   5.2;-999;eor
       2521;1978011214;    5;  -0.1;   0.0;   0.8;   2.0;   5.2;   8.2;eor
       2521;1978011221;    5;  -0.3;   0.0;   0.8;   2.0;   5.2;-999;eor
       2521;1978011307;    5;  -0.3;   0.0;   0.8;   2.0;   5.1;-999;eor
       2521;1978011314;    5;  -0.1;   0.0;   0.9;   2.1;   5.1;   8.2;eor
       2521;1978011321;    5;  -0.1;   0.0;   0.9;   2.1;   5.1;-999;eor
       2521;1978011407;    5;  -0.1;   0.0;   0.9;   2.0;   5.1;-999;eor
       2521;1978011414;    5;  -0.1;   0.0;   0.9;   2.1;   5.1;   8.2;eor
       2521;1978011421;    5;  -0.1;  -0.1;   0.9;   2.1;   5.1;-999;eor
       2521;1978011507;    5;  -0.1;   0.0;   0.9;   2.1;   5.0;-999;eor
