Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2700;Kösching;V_TE005;13.02.2011-09:00;14.02.2011-07:00;23;;eor;                                                                                                                                        
2700;Kösching;V_TE005;06.03.2019-10:00;06.03.2019-15:00;6;;eor;                                                                                                                                         
2700;Kösching;V_TE005;07.03.2019-09:00;07.03.2019-09:00;1;;eor;                                                                                                                                         
2700;Kösching;V_TE005;19.05.2020-16:00;22.05.2020-08:00;65;;eor;                                                                                                                                        
2700;Kösching;V_TE005;04.06.2020-12:00;05.06.2020-09:00;22;;eor;                                                                                                                                        
2700;Kösching;V_TE005;28.07.2021-07:00;30.07.2021-05:00;47;;eor;                                                                                                                                        
2700;Kösching;V_TE010;30.06.1993-22:00;01.08.1993-06:00;93;;eor;                                                                                                                                        
2700;Kösching;V_TE010;30.09.2000-22:00;01.11.2000-06:00;93;;eor;                                                                                                                                        
2700;Kösching;V_TE010;20.01.2002-22:00;29.01.2002-06:00;24;;eor;                                                                                                                                        
2700;Kösching;V_TE010;29.01.2002-15:00;30.01.2002-06:00;1;;eor;                                                                                                                                         
2700;Kösching;V_TE010;13.02.2011-09:00;14.02.2011-07:00;23;;eor;                                                                                                                                        
2700;Kösching;V_TE010;06.03.2019-10:00;06.03.2019-15:00;6;;eor;                                                                                                                                         
2700;Kösching;V_TE010;07.03.2019-09:00;07.03.2019-09:00;1;;eor;                                                                                                                                         
2700;Kösching;V_TE010;19.05.2020-16:00;22.05.2020-08:00;65;;eor;                                                                                                                                        
2700;Kösching;V_TE010;04.06.2020-12:00;05.06.2020-09:00;22;;eor;                                                                                                                                        
2700;Kösching;V_TE010;28.07.2021-07:00;30.07.2021-05:00;47;;eor;                                                                                                                                        
2700;Kösching;V_TE020;31.03.1991-22:00;13.04.1991-06:00;36;;eor;                                                                                                                                        
2700;Kösching;V_TE020;30.06.1993-22:00;01.08.1993-06:00;93;;eor;                                                                                                                                        
2700;Kösching;V_TE020;22.05.1994-08:00;07.06.1994-06:00;47;;eor;                                                                                                                                        
2700;Kösching;V_TE020;14.03.2000-22:00;29.03.2000-06:00;42;;eor;                                                                                                                                        
2700;Kösching;V_TE020;30.09.2000-22:00;01.11.2000-06:00;93;;eor;                                                                                                                                        
2700;Kösching;V_TE020;20.01.2002-22:00;29.01.2002-06:00;24;;eor;                                                                                                                                        
2700;Kösching;V_TE020;29.01.2002-15:00;30.01.2002-06:00;1;;eor;                                                                                                                                         
2700;Kösching;V_TE020;13.02.2011-09:00;14.02.2011-07:00;23;;eor;                                                                                                                                        
2700;Kösching;V_TE020;06.03.2019-10:00;06.03.2019-15:00;6;;eor;                                                                                                                                         
2700;Kösching;V_TE020;19.05.2020-16:00;22.05.2020-08:00;65;;eor;                                                                                                                                        
