STATIONS_ID;MESS_DATUM;QN_2;V_TE002;V_TE005;V_TE010;V_TE020;V_TE050;V_TE100;eor
       1504;2001040307;    1;  -999;   6.3;   6.8;   7.5;   7.4;   6.5;eor
       1504;2001040314;    1;  -999;  12.8;  10.0;   8.1;   7.4;-999;eor
       1504;2001040321;    1;  -999;   8.1;   9.3;   8.7;   7.5;-999;eor
       1504;2001040407;    1;  -999;   5.4;   6.0;   7.1;   7.7;   6.7;eor
       1504;2001040414;    1;  -999;  11.9;  10.2;   8.2;   7.6;-999;eor
       1504;2001040421;    1;  -999;   7.3;   8.3;   8.4;   7.6;-999;eor
       1504;2001040507;    1;  -999;   4.7;   5.6;   6.8;   7.7;   6.9;eor
       1504;2001040514;    1;  -999;  11.2;   9.2;   7.5;   7.6;-999;eor
       1504;2001040521;    1;  -999;   7.1;   7.4;   8.0;   7.7;-999;eor
       1504;2001040607;    1;  -999;   6.8;   6.8;   7.1;   7.6;   7.1;eor
       1504;2001040614;    1;  -999;  11.3;   9.6;   7.9;   7.6;-999;eor
       1504;2001040621;    1;  -999;   9.8;   9.1;   8.1;   7.8;-999;eor
       1504;2001040707;    1;  -999;   8.2;   8.4;   8.3;   7.8;   7.3;eor
       1504;2001040714;    1;  -999;  12.3;  10.7;   9.7;   7.9;-999;eor
       1504;2001040721;    1;  -999;   7.4;   8.8;   9.0;   7.9;-999;eor
       1504;2001040807;    1;  -999;   3.5;   5.2;   7.1;   8.2;   7.3;eor
       1504;2001040814;    1;  -999;  11.9;  10.2;   8.2;   8.1;-999;eor
       1504;2001040821;    1;  -999;   8.3;   8.7;   8.7;   8.0;-999;eor
       1504;2001040907;    1;  -999;   4.0;   5.0;   6.8;   8.1;   7.4;eor
       1504;2001040914;    1;  -999;   9.8;   9.1;   7.8;   7.9;-999;eor
       1504;2001040921;    1;  -999;   7.6;   7.8;   7.9;   7.9;-999;eor
       1504;2001041007;    1;  -999;   7.4;   7.5;   7.6;   8.0;   7.5;eor
       1504;2001041014;    1;  -999;  11.9;  10.1;   8.3;   8.0;-999;eor
       1504;2001041021;    1;  -999;   8.9;   9.2;   9.1;   8.1;-999;eor
       1504;2001041107;    1;  -999;   7.2;   7.7;   8.2;   8.2;   7.6;eor
       1504;2001041114;    1;  -999;  10.4;   9.9;   8.5;   8.2;-999;eor
       1504;2001041121;    1;  -999;   7.9;   8.5;   8.7;   8.3;-999;eor
       1504;2001041207;    1;  -999;   5.2;   6.1;   7.3;   8.3;   7.7;eor
       1504;2001041214;    1;  -999;  10.0;   9.2;   7.9;   8.1;-999;eor
       1504;2001041221;    1;  -999;   5.2;   6.8;   7.8;   8.2;-999;eor
       1504;2001041307;    1;  -999;   2.7;   4.2;   6.0;   8.1;   7.8;eor
       1504;2001041314;    1;  -999;   8.4;   7.0;   6.4;   7.7;-999;eor
       1504;2001041321;    1;  -999;   3.9;   5.4;   6.7;   7.7;-999;eor
       1504;2001041407;    1;  -999;   2.0;   3.3;   5.1;   7.5;   7.8;eor
       1504;2001041414;    1;  -999;  10.2;   7.7;   5.8;   7.4;-999;eor
       1504;2001041421;    1;  -999;   6.7;   7.1;   6.8;   7.3;-999;eor
       1504;2001041507;    1;  -999;   3.4;   4.2;   5.5;   7.3;   7.8;eor
       1504;2001041514;    1;  -999;   7.7;   6.7;   5.8;   7.1;-999;eor
       1504;2001041521;    1;  -999;   6.4;   7.0;   6.5;   7.1;-999;eor
       1504;2001041607;    1;  -999;   5.5;   5.5;   6.0;   7.1;   7.6;eor
       1504;2001041614;    1;  -999;   9.4;   8.2;   6.9;   7.1;-999;eor
       1504;2001041621;    1;  -999;   5.9;   6.6;   7.0;   7.3;-999;eor
       1504;2001041707;    1;  -999;   4.7;   5.4;   6.2;   7.3;   7.6;eor
       1504;2001041714;    1;  -999;   8.2;   7.5;   6.7;   7.2;-999;eor
       1504;2001041721;    1;  -999;   6.7;   7.4;   7.2;   7.2;-999;eor
       1504;2001041807;    1;  -999;   4.5;   5.1;   6.0;   7.3;   7.6;eor
       1504;2001041814;    1;  -999;   7.2;   6.7;   6.3;   7.2;-999;eor
       1504;2001041821;    1;  -999;   4.0;   5.6;   6.5;   7.2;-999;eor
       1504;2001041907;    1;  -999;   2.7;   3.6;   5.1;   7.2;   7.7;eor
       1504;2001041914;    1;  -999;   8.9;   7.7;   6.2;   6.9;-999;eor
       1504;2001041921;    1;  -999;   4.2;   5.6;   6.5;   7.0;-999;eor
       1504;2001042007;    1;  -999;   2.4;   3.4;   4.9;   7.0;   7.5;eor
       1504;2001042014;    1;  -999;  10.3;   8.2;   6.1;   6.8;-999;eor
       1504;2001042021;    1;  -999;   5.5;   6.8;   6.0;   6.8;-999;eor
       1504;2001042107;    1;  -999;   2.7;   3.7;   5.3;   7.1;   7.5;eor
       1504;2001042114;    1;  -999;   8.4;   7.4;   6.1;   6.9;-999;eor
       1504;2001042121;    1;  -999;   6.2;   6.6;   6.7;   6.9;-999;eor
       1504;2001042207;    1;  -999;   4.3;   5.0;   5.9;   7.0;   7.5;eor
       1504;2001042214;    1;  -999;  13.5;  10.4;   7.3;   7.0;-999;eor
       1504;2001042221;    1;  -999;   7.9;   8.5;   8.3;   7.2;-999;eor
