Stations_ID;Von_Datum;Bis_Datum;Stationsname;Parameter;Parameterbeschreibung;Einheit;Datenquelle (Strukturversion=SV);Zusatz-Info;Besonderheiten;Literaturhinweis;eor;
2532;19480101;19991130;Kassel;RF_TU;relative Feuchte;%;Daten der Temperatur und relativen Feuchte (Stundenwerte) aus analogen Registrierungen (Thermohygrograph);Stundenwerte in MEZ;Zeitraum 01.08.1977 - 31.12.1977: Bei gleichzeitiger Betrachtung des Klima-Kollektivs (Messnetz=4) fällt auf, dass sich  Werte von Temperatur und Feuchte der beiden Kollektive unterscheiden auch wenn sie zur gleichen Uhrzeit beobachtet wurden. Ursache hierfür sind die unterschiedlichen Verfahren der Datenerhebung. Während die Klimadaten vom Beobachter zur festgelegten Zeit abgelesen und eingetragen wurden, wurden die Temperatur- und Feuchtewerte (Messnetz=9) automatisch registriert und der Registrierstreifen später ausgewertet. Da beide Verfahren nicht frei von Ungenauigkeiten sind, kann es auch zu Differenzen bei den Messreihen kommen.;;eor;
2532;19991201;19991202;Kassel;RF_TU;relative Feuchte;%;Daten der Temperatur und relativen Feuchte (Stundenwerte) aus analogen Registrierungen (Thermohygrograph);Stundenwerte in MEZ;Zeitraum 01.08.1977 - 31.12.1977: Bei gleichzeitiger Betrachtung des Klima-Kollektivs (Messnetz=4) fällt auf, dass sich  Werte von Temperatur und Feuchte der beiden Kollektive unterscheiden auch wenn sie zur gleichen Uhrzeit beobachtet wurden. Ursache hierfür sind die unterschiedlichen Verfahren der Datenerhebung. Während die Klimadaten vom Beobachter zur festgelegten Zeit abgelesen und eingetragen wurden, wurden die Temperatur- und Feuchtewerte (Messnetz=9) automatisch registriert und der Registrierstreifen später ausgewertet. Da beide Verfahren nicht frei von Ungenauigkeiten sind, kann es auch zu Differenzen bei den Messreihen kommen.;;eor;
2532;19991203;19991205;Kassel;RF_TU;relative Feuchte;%;Daten der Temperatur und relativen Feuchte (Stundenwerte) aus analogen Registrierungen (Thermohygrograph);Stundenwerte in MEZ;Zeitraum 01.08.1977 - 31.12.1977: Bei gleichzeitiger Betrachtung des Klima-Kollektivs (Messnetz=4) fällt auf, dass sich  Werte von Temperatur und Feuchte der beiden Kollektive unterscheiden auch wenn sie zur gleichen Uhrzeit beobachtet wurden. Ursache hierfür sind die unterschiedlichen Verfahren der Datenerhebung. Während die Klimadaten vom Beobachter zur festgelegten Zeit abgelesen und eingetragen wurden, wurden die Temperatur- und Feuchtewerte (Messnetz=9) automatisch registriert und der Registrierstreifen später ausgewertet. Da beide Verfahren nicht frei von Ungenauigkeiten sind, kann es auch zu Differenzen bei den Messreihen kommen.;;eor;
2532;19991205;19991206;Kassel;RF_TU;relative Feuchte;%;Daten der Temperatur und relativen Feuchte (Stundenwerte) aus analogen Registrierungen (Thermohygrograph);Stundenwerte in MEZ;Zeitraum 01.08.1977 - 31.12.1977: Bei gleichzeitiger Betrachtung des Klima-Kollektivs (Messnetz=4) fällt auf, dass sich  Werte von Temperatur und Feuchte der beiden Kollektive unterscheiden auch wenn sie zur gleichen Uhrzeit beobachtet wurden. Ursache hierfür sind die unterschiedlichen Verfahren der Datenerhebung. Während die Klimadaten vom Beobachter zur festgelegten Zeit abgelesen und eingetragen wurden, wurden die Temperatur- und Feuchtewerte (Messnetz=9) automatisch registriert und der Registrierstreifen später ausgewertet. Da beide Verfahren nicht frei von Ungenauigkeiten sind, kann es auch zu Differenzen bei den Messreihen kommen.;;eor;
2532;19991206;19991215;Kassel;RF_TU;relative Feuchte;%;Daten der Temperatur und relativen Feuchte (Stundenwerte) aus analogen Registrierungen (Thermohygrograph);Stundenwerte in MEZ;Zeitraum 01.08.1977 - 31.12.1977: Bei gleichzeitiger Betrachtung des Klima-Kollektivs (Messnetz=4) fällt auf, dass sich  Werte von Temperatur und Feuchte der beiden Kollektive unterscheiden auch wenn sie zur gleichen Uhrzeit beobachtet wurden. Ursache hierfür sind die unterschiedlichen Verfahren der Datenerhebung. Während die Klimadaten vom Beobachter zur festgelegten Zeit abgelesen und eingetragen wurden, wurden die Temperatur- und Feuchtewerte (Messnetz=9) automatisch registriert und der Registrierstreifen später ausgewertet. Da beide Verfahren nicht frei von Ungenauigkeiten sind, kann es auch zu Differenzen bei den Messreihen kommen.;;eor;
2532;19991215;19991215;Kassel;RF_TU;relative Feuchte;%;Daten der Temperatur und relativen Feuchte (Stundenwerte) aus analogen Registrierungen (Thermohygrograph);Stundenwerte in MEZ;Zeitraum 01.08.1977 - 31.12.1977: Bei gleichzeitiger Betrachtung des Klima-Kollektivs (Messnetz=4) fällt auf, dass sich  Werte von Temperatur und Feuchte der beiden Kollektive unterscheiden auch wenn sie zur gleichen Uhrzeit beobachtet wurden. Ursache hierfür sind die unterschiedlichen Verfahren der Datenerhebung. Während die Klimadaten vom Beobachter zur festgelegten Zeit abgelesen und eingetragen wurden, wurden die Temperatur- und Feuchtewerte (Messnetz=9) automatisch registriert und der Registrierstreifen später ausgewertet. Da beide Verfahren nicht frei von Ungenauigkeiten sind, kann es auch zu Differenzen bei den Messreihen kommen.;;eor;
2532;19991215;19991215;Kassel;RF_TU;relative Feuchte;%;Daten der Temperatur und relativen Feuchte (Stundenwerte) von automatischen Stationen der 1. Generation (MIRIAM/AFMS2, ESAU-Daten);Stundenwerte in UTC;;;eor;
2532;19991215;19991215;Kassel;RF_TU;relative Feuchte;%;Daten der Temperatur und relativen Feuchte (Stundenwerte) aus analogen Registrierungen (Thermohygrograph);Stundenwerte in MEZ;Zeitraum 01.08.1977 - 31.12.1977: Bei gleichzeitiger Betrachtung des Klima-Kollektivs (Messnetz=4) fällt auf, dass sich  Werte von Temperatur und Feuchte der beiden Kollektive unterscheiden auch wenn sie zur gleichen Uhrzeit beobachtet wurden. Ursache hierfür sind die unterschiedlichen Verfahren der Datenerhebung. Während die Klimadaten vom Beobachter zur festgelegten Zeit abgelesen und eingetragen wurden, wurden die Temperatur- und Feuchtewerte (Messnetz=9) automatisch registriert und der Registrierstreifen später ausgewertet. Da beide Verfahren nicht frei von Ungenauigkeiten sind, kann es auch zu Differenzen bei den Messreihen kommen.;;eor;
2532;19991215;19991217;Kassel;RF_TU;relative Feuchte;%;Daten der Temperatur und relativen Feuchte (Stundenwerte) aus analogen Registrierungen (Thermohygrograph);Stundenwerte in MEZ;Zeitraum 01.08.1977 - 31.12.1977: Bei gleichzeitiger Betrachtung des Klima-Kollektivs (Messnetz=4) fällt auf, dass sich  Werte von Temperatur und Feuchte der beiden Kollektive unterscheiden auch wenn sie zur gleichen Uhrzeit beobachtet wurden. Ursache hierfür sind die unterschiedlichen Verfahren der Datenerhebung. Während die Klimadaten vom Beobachter zur festgelegten Zeit abgelesen und eingetragen wurden, wurden die Temperatur- und Feuchtewerte (Messnetz=9) automatisch registriert und der Registrierstreifen später ausgewertet. Da beide Verfahren nicht frei von Ungenauigkeiten sind, kann es auch zu Differenzen bei den Messreihen kommen.;;eor;
2532;19991217;19991228;Kassel;RF_TU;relative Feuchte;%;Daten der Temperatur und relativen Feuchte (Stundenwerte) aus analogen Registrierungen (Thermohygrograph);Stundenwerte in MEZ;Zeitraum 01.08.1977 - 31.12.1977: Bei gleichzeitiger Betrachtung des Klima-Kollektivs (Messnetz=4) fällt auf, dass sich  Werte von Temperatur und Feuchte der beiden Kollektive unterscheiden auch wenn sie zur gleichen Uhrzeit beobachtet wurden. Ursache hierfür sind die unterschiedlichen Verfahren der Datenerhebung. Während die Klimadaten vom Beobachter zur festgelegten Zeit abgelesen und eingetragen wurden, wurden die Temperatur- und Feuchtewerte (Messnetz=9) automatisch registriert und der Registrierstreifen später ausgewertet. Da beide Verfahren nicht frei von Ungenauigkeiten sind, kann es auch zu Differenzen bei den Messreihen kommen.;;eor;
