Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
2532;Kassel;V_TE005;01.01.1977;31.10.2013;1057;Gesamt_Messzeitraum;eor;                                                                                                                                 
2532;Kassel;V_TE010;01.01.1977;31.10.2013;1038;Gesamt_Messzeitraum;eor;                                                                                                                                 
2532;Kassel;V_TE020;01.01.1977;31.10.2013;1046;Gesamt_Messzeitraum;eor;                                                                                                                                 
2532;Kassel;V_TE050;01.01.1977;31.10.2013;1110;Gesamt_Messzeitraum;eor;                                                                                                                                 
2532;Kassel;V_TE100;01.01.1977;31.10.2013;4637;Gesamt_Messzeitraum;eor;                                                                                                                                 
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2532;Kassel;V_TE005;24.03.1994-15:00;25.03.1994-06:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;28.03.1994-08:00;29.03.1994-06:00;2;;eor;                                                                                                                                           
2532;Kassel;V_TE005;29.03.1994-15:00;30.03.1994-06:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;31.03.1994-15:00;01.04.1994-06:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;29.11.1996-22:00;30.11.1996-13:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;13.01.1998-08:00;13.01.1998-20:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;17.01.1998-22:00;18.01.1998-13:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;26.01.1998-22:00;27.01.1998-13:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;28.01.1998-22:00;29.01.1998-13:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;15.02.1998-08:00;15.02.1998-20:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;20.02.1998-08:00;20.02.1998-20:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;24.02.1998-22:00;25.02.1998-13:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;05.03.1998-08:00;05.03.1998-20:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;18.03.1998-15:00;19.03.1998-06:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;10.04.1998-22:00;11.04.1998-13:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;14.04.1998-08:00;14.04.1998-20:00;1;;eor;                                                                                                                                           
2532;Kassel;V_TE005;20.04.1998-08:00;20.04.1998-20:00;1;;eor;                                                                                                                                           
