Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
5347;Warburg;V_TE002;01.02.1988;13.10.1999;6587;Gesamt_Messzeitraum;eor;                                                                                                                                
5347;Warburg;V_TE005;01.02.1988;04.05.2023;2385;Gesamt_Messzeitraum;eor;                                                                                                                                
5347;Warburg;V_TE010;01.02.1988;04.05.2023;2392;Gesamt_Messzeitraum;eor;                                                                                                                                
5347;Warburg;V_TE020;01.02.1988;04.05.2023;3257;Gesamt_Messzeitraum;eor;                                                                                                                                
5347;Warburg;V_TE050;01.02.1988;04.05.2023;2376;Gesamt_Messzeitraum;eor;                                                                                                                                
5347;Warburg;V_TE100;01.02.1988;04.05.2023;5451;Gesamt_Messzeitraum;eor;                                                                                                                                
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
5347;Warburg;V_TE002;12.02.1988-22:00;13.02.1988-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;18.02.1988-08:00;18.02.1988-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;01.03.1988-22:00;02.03.1988-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;15.03.1988-08:00;15.03.1988-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;21.03.1988-15:00;22.03.1988-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;27.04.1988-08:00;27.04.1988-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;29.04.1988-08:00;02.05.1988-13:00;9;;eor;                                                                                                                                          
5347;Warburg;V_TE002;02.05.1988-22:00;03.05.1988-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;10.05.1988-08:00;10.05.1988-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;07.06.1988-22:00;08.06.1988-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;02.08.1988-22:00;03.08.1988-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;29.08.1988-22:00;30.08.1988-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;01.09.1988-15:00;06.09.1988-13:00;14;;eor;                                                                                                                                         
5347;Warburg;V_TE002;11.09.1988-08:00;14.09.1988-20:00;10;;eor;                                                                                                                                         
5347;Warburg;V_TE002;05.10.1988-15:00;06.10.1988-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;08.10.1988-15:00;09.10.1988-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;18.11.1988-15:00;19.11.1988-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;30.11.1988-22:00;05.12.1988-13:00;13;;eor;                                                                                                                                         
5347;Warburg;V_TE002;10.01.1989-15:00;11.01.1989-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;02.05.1989-22:00;03.05.1989-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;10.05.1989-15:00;11.05.1989-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;29.05.1989-08:00;29.05.1989-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;22.06.1989-22:00;23.06.1989-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;19.07.1989-15:00;20.07.1989-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;24.07.1989-22:00;25.07.1989-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;29.07.1989-15:00;30.07.1989-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;09.08.1989-08:00;10.08.1989-13:00;3;;eor;                                                                                                                                          
5347;Warburg;V_TE002;10.08.1989-15:00;11.08.1989-13:00;2;;eor;                                                                                                                                          
5347;Warburg;V_TE002;14.08.1989-15:00;15.08.1989-13:00;2;;eor;                                                                                                                                          
5347;Warburg;V_TE002;05.09.1989-22:00;06.09.1989-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;06.09.1989-15:00;07.09.1989-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;10.09.1989-22:00;11.09.1989-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;15.09.1989-08:00;19.09.1989-13:00;12;;eor;                                                                                                                                         
5347;Warburg;V_TE002;19.09.1989-15:00;22.09.1989-13:00;8;;eor;                                                                                                                                          
5347;Warburg;V_TE002;24.09.1989-22:00;26.09.1989-13:00;4;;eor;                                                                                                                                          
5347;Warburg;V_TE002;06.11.1989-15:00;07.11.1989-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;10.11.1989-22:00;11.11.1989-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;12.11.1989-22:00;13.11.1989-20:00;2;;eor;                                                                                                                                          
5347;Warburg;V_TE002;30.11.1989-08:00;30.11.1989-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;14.01.1990-15:00;15.01.1990-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;20.01.1990-22:00;21.01.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;26.01.1990-08:00;26.01.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;26.01.1990-22:00;27.01.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;31.01.1990-08:00;31.01.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;23.02.1990-22:00;24.02.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;27.02.1990-22:00;28.02.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;03.03.1990-22:00;04.03.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;12.03.1990-15:00;13.03.1990-13:00;2;;eor;                                                                                                                                          
5347;Warburg;V_TE002;29.03.1990-22:00;30.03.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;20.04.1990-08:00;20.04.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;06.05.1990-22:00;07.05.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;24.05.1990-15:00;25.05.1990-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;30.05.1990-08:00;30.05.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;22.06.1990-22:00;23.06.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;28.06.1990-08:00;28.06.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;29.06.1990-08:00;29.06.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;29.06.1990-22:00;30.06.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;01.07.1990-15:00;02.07.1990-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;04.07.1990-08:00;04.07.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;05.07.1990-22:00;06.07.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;07.07.1990-15:00;08.07.1990-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;21.07.1990-22:00;22.07.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;27.07.1990-15:00;28.07.1990-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;28.07.1990-22:00;29.07.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;02.08.1990-08:00;02.08.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;06.08.1990-22:00;07.08.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;16.08.1990-15:00;17.08.1990-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;28.08.1990-08:00;28.08.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;30.08.1990-22:00;31.08.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;08.09.1990-22:00;09.09.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;20.09.1990-22:00;21.09.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;28.09.1990-08:00;28.09.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;03.10.1990-22:00;04.10.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;06.10.1990-08:00;06.10.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;06.10.1990-22:00;07.10.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;17.10.1990-15:00;18.10.1990-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;25.10.1990-08:00;25.10.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;28.11.1990-22:00;29.11.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;30.11.1990-22:00;01.12.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;05.12.1990-22:00;06.12.1990-20:00;2;;eor;                                                                                                                                          
5347;Warburg;V_TE002;21.12.1990-22:00;22.12.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;24.12.1990-08:00;24.12.1990-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;27.12.1990-22:00;28.12.1990-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;28.12.1990-22:00;02.01.1991-13:00;13;;eor;                                                                                                                                         
5347;Warburg;V_TE002;12.01.1991-08:00;12.01.1991-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;13.01.1991-22:00;14.01.1991-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;18.01.1991-22:00;19.01.1991-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;21.01.1991-22:00;22.01.1991-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;29.01.1991-08:00;29.01.1991-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;11.02.1991-08:00;11.02.1991-20:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;12.02.1991-22:00;13.02.1991-13:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;27.02.1991-15:00;28.02.1991-06:00;1;;eor;                                                                                                                                          
5347;Warburg;V_TE002;20.04.1991-15:00;21.04.1991-06:00;1;;eor;                                                                                                                                          
