Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2564;Kiel-Holtenau;V_TE002;24.07.1986-08:00;24.07.1986-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;10.10.1986-22:00;11.10.1986-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;15.10.1986-22:00;16.10.1986-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;22.10.1986-08:00;22.10.1986-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;26.10.1986-08:00;26.10.1986-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;28.10.1986-08:00;28.10.1986-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;31.10.1986-15:00;01.11.1986-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;29.11.1987-22:00;30.11.1987-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;02.06.1988-08:00;01.07.1988-06:00;86;;eor;                                                                                                                                   
2564;Kiel-Holtenau;V_TE002;17.07.1990-22:00;18.07.1990-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;07.02.1991-08:00;08.02.1991-13:00;3;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;31.10.1991-22:00;01.04.1992-06:00;456;;eor;                                                                                                                                  
2564;Kiel-Holtenau;V_TE002;31.05.1992-22:00;01.10.1992-06:00;366;;eor;                                                                                                                                  
2564;Kiel-Holtenau;V_TE002;31.10.1992-22:00;01.04.1993-06:00;453;;eor;                                                                                                                                  
2564;Kiel-Holtenau;V_TE002;30.04.1993-22:00;01.11.1993-06:00;552;;eor;                                                                                                                                  
2564;Kiel-Holtenau;V_TE002;30.11.1993-22:00;01.01.1998-06:00;4476;;eor;                                                                                                                                 
2564;Kiel-Holtenau;V_TE002;28.02.1998-15:00;01.03.1998-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;07.03.1998-08:00;07.03.1998-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;08.03.1998-22:00;09.03.1998-20:00;2;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;22.03.1998-08:00;23.03.1998-06:00;2;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;15.05.1998-22:00;16.05.1998-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;04.06.1998-22:00;05.06.1998-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;05.06.1998-15:00;06.06.1998-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;23.06.1998-08:00;23.06.1998-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;23.09.1998-15:00;24.09.1998-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;22.02.1999-15:00;23.02.1999-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;21.07.1999-22:00;22.07.1999-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;01.11.1999-08:00;01.11.1999-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;10.11.1999-15:00;11.11.1999-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;22.11.1999-08:00;22.11.1999-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;26.12.1999-08:00;26.12.1999-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;19.03.2001-15:00;20.03.2001-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE002;31.03.2001-22:00;19.04.2001-06:00;54;;eor;                                                                                                                                   
2564;Kiel-Holtenau;V_TE005;10.10.1986-22:00;11.10.1986-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;15.10.1986-22:00;16.10.1986-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;22.10.1986-08:00;22.10.1986-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;26.10.1986-08:00;26.10.1986-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;28.10.1986-08:00;28.10.1986-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;31.10.1986-15:00;01.11.1986-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;29.11.1987-22:00;30.11.1987-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;02.06.1988-08:00;01.07.1988-06:00;86;;eor;                                                                                                                                   
2564;Kiel-Holtenau;V_TE005;07.02.1991-08:00;08.02.1991-13:00;3;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;18.12.1995-08:00;20.12.1995-06:00;5;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;02.03.1996-15:00;03.03.1996-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;05.03.1996-08:00;05.03.1996-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;06.03.1996-08:00;06.03.1996-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;06.03.1996-22:00;07.03.1996-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;08.03.1996-08:00;08.03.1996-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;12.03.1996-08:00;12.03.1996-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;12.03.1996-22:00;13.03.1996-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;13.03.1996-15:00;14.03.1996-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;26.03.1996-22:00;27.03.1996-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;28.02.1998-15:00;01.03.1998-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;07.03.1998-08:00;07.03.1998-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;08.03.1998-22:00;09.03.1998-20:00;2;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;22.03.1998-08:00;23.03.1998-06:00;2;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;15.05.1998-22:00;16.05.1998-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;04.06.1998-22:00;05.06.1998-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;05.06.1998-15:00;06.06.1998-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;23.06.1998-08:00;23.06.1998-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;23.09.1998-15:00;24.09.1998-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;22.02.1999-15:00;23.02.1999-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;21.07.1999-22:00;22.07.1999-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;01.11.1999-08:00;01.11.1999-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;10.11.1999-15:00;11.11.1999-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;22.11.1999-08:00;22.11.1999-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;26.12.1999-08:00;26.12.1999-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;19.03.2001-15:00;20.03.2001-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;31.03.2001-22:00;03.04.2001-06:00;6;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;01.05.2001-08:00;01.05.2001-13:00;6;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;08.05.2001-08:00;08.05.2001-13:00;6;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;26.11.2001-08:00;26.11.2001-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;30.11.2001-15:00;01.12.2001-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;27.12.2001-08:00;27.12.2001-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;24.02.2002-15:00;25.02.2002-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;12.04.2002-15:00;13.04.2002-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;26.04.2002-15:00;27.04.2002-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;28.06.2002-22:00;29.06.2002-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;19.07.2002-08:00;19.07.2002-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;01.09.2002-15:00;02.09.2002-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;07.11.2002-15:00;08.11.2002-06:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;24.12.2002-08:00;24.12.2002-20:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;06.01.2003-08:00;07.01.2003-13:00;3;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;15.03.2003-22:00;16.03.2003-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;27.07.2003-22:00;28.07.2003-13:00;1;;eor;                                                                                                                                    
2564;Kiel-Holtenau;V_TE005;17.11.2003-15:00;18.11.2003-06:00;1;;eor;                                                                                                                                    
