STATIONS_ID;MESS_DATUM;QN_2;V_TE002;V_TE005;V_TE010;V_TE020;V_TE050;V_TE100;eor
       2565;1976010107;    5;   2.6;   2.9;   3.6;   4.4;   5.1;-999;eor
       2565;1976010114;    5;   2.1;   2.6;   2.7;   3.1;   4.9;   5.6;eor
       2565;1976010121;    5;   0.8;   2.2;   2.6;   3.6;   4.8;-999;eor
       2565;1976010207;    5;   0.7;   1.3;   1.9;   2.7;   4.6;-999;eor
       2565;1976010214;    5;   2.1;   2.1;   2.2;   2.4;   4.4;   5.9;eor
       2565;1976010221;    5;   0.9;   1.5;   1.9;   2.4;   4.4;-999;eor
       2565;1976010307;    5;   3.5;   3.6;   2.2;   2.1;   3.9;-999;eor
       2565;1976010314;    5;   3.1;   3.0;   3.1;   2.9;   3.0;   5.9;eor
       2565;1976010321;    5;   2.4;   2.6;   2.9;   3.0;   3.8;-999;eor
       2565;1976010407;    5;  -0.8;  -0.6;   0.6;   1.7;   3.7;-999;eor
       2565;1976010414;    5;   0.6;   0.6;   0.6;   1.5;   3.4;   5.8;eor
       2565;1976010421;    5;  -0.3;   0.2;   0.4;   1.5;   3.5;-999;eor
       2565;1976010507;    5;  -0.6;  -0.5;   0.2;   1.5;   3.2;-999;eor
       2565;1976010514;    5;   0.3;   0.3;   0.3;   1.6;   3.4;   5.5;eor
       2565;1976010521;    5;   0.3;   0.3;   0.3;   1.2;   3.2;-999;eor
       2565;1976010607;    5;  -0.1;   0.3;   0.5;   0.9;   3.0;-999;eor
       2565;1976010614;    5;   0.0;   0.2;   0.5;   1.1;   3.0;   5.3;eor
       2565;1976010621;    5;  -0.2;   0.2;   0.5;   0.9;   3.0;-999;eor
       2565;1976010707;    5;  -1.6;  -1.5;  -1.2;  -0.9;   2.8;-999;eor
       2565;1976010714;    5;  -0.2;  -0.1;   0.3;   0.3;   2.8;   4.9;eor
       2565;1976010721;    5;   0.4;   0.3;   0.2;   0.5;   2.7;-999;eor
       2565;1976010807;    5;   3.6;   2.6;   2.4;   2.1;   2.8;-999;eor
       2565;1976010814;    5;   4.4;   3.7;   3.5;   2.9;   2.9;   4.9;eor
       2565;1976010821;    5;   4.6;   4.2;   3.7;   3.2;   2.9;-999;eor
       2565;1976010907;    5;   4.3;   4.2;   4.1;   3.7;   3.2;-999;eor
       2565;1976010914;    5;   5.5;   4.9;   4.7;   4.4;   3.8;   4.9;eor
       2565;1976010921;    5;   5.2;   5.1;   4.8;   4.7;   3.9;-999;eor
       2565;1976011007;    5;   1.3;   2.0;   2.5;   3.0;   4.2;-999;eor
       2565;1976011014;    5;   2.7;   2.6;   2.7;   2.7;   4.0;   5.0;eor
       2565;1976011021;    5;   2.7;   2.7;   2.9;   2.9;   4.0;-999;eor
       2565;1976011107;    5;   3.2;   3.4;   3.5;   3.5;   4.0;-999;eor
       2565;1976011114;    5;   4.6;   4.1;   3.9;   3.6;   4.1;   5.3;eor
       2565;1976011121;    5;   3.8;   3.9;   3.9;   3.8;   4.1;-999;eor
       2565;1976011207;    5;   5.6;   5.4;   5.1;   4.6;   4.5;-999;eor
       2565;1976011214;    5;   6.2;   5.8;   5.4;   5.1;   4.5;   5.3;eor
       2565;1976011221;    5;   6.2;   5.9;   5.7;   5.5;   4.6;-999;eor
       2565;1976011307;    5;   1.2;   2.6;   3.5;   3.9;   4.4;-999;eor
       2565;1976011314;    5;   2.8;   3.1;   3.4;   3.6;   4.5;   5.3;eor
       2565;1976011321;    5;   1.4;   2.4;   3.0;   3.4;   4.4;-999;eor
       2565;1976011407;    5;   2.2;   2.3;   2.7;   2.9;   4.4;-999;eor
       2565;1976011414;    5;   3.7;   3.2;   3.2;   3.1;   4.3;   5.4;eor
       2565;1976011421;    5;   4.0;   3.7;   3.5;   3.3;   4.2;-999;eor
       2565;1976011507;    5;   1.5;   2.0;   2.5;   3.1;   4.3;-999;eor
       2565;1976011514;    5;   1.2;   1.5;   2.0;   2.5;   4.2;   5.4;eor
       2565;1976011521;    5;   1.2;   1.8;   2.1;   2.4;   4.2;-999;eor
       2565;1976011607;    5;  -0.8;   0.0;   0.5;   1.6;   3.8;-999;eor
       2565;1976011614;    5;  -0.4;  -0.1;   0.5;   1.4;   3.8;   5.3;eor
       2565;1976011621;    5;  -0.2;   0.0;   0.3;   1.3;   3.8;-999;eor
       2565;1976011707;    5;  -0.2;   0.0;   0.5;   1.3;   3.5;-999;eor
       2565;1976011714;    5;   1.8;   1.6;   0.9;   1.4;   3.2;   5.0;eor
       2565;1976011721;    5;   0.2;   0.5;   0.6;   1.3;   3.3;-999;eor
       2565;1976011807;    5;   2.4;   2.0;   1.7;   1.5;   3.0;-999;eor
       2565;1976011814;    5;   4.1;   3.5;   3.3;   2.7;   3.0;   5.0;eor
       2565;1976011821;    5;   4.0;   3.8;   3.4;   2.8;   3.1;-999;eor
       2565;1976011907;    5;   2.8;   2.4;   2.9;   2.9;   3.0;-999;eor
       2565;1976011914;    5;   3.8;   3.2;   3.7;   3.6;   3.4;   4.8;eor
       2565;1976011921;    5;   3.6;   3.4;   3.6;   3.6;   3.6;-999;eor
       2565;1976012007;    5;   5.5;   5.2;   5.1;   4.7;   3.8;-999;eor
       2565;1976012014;    5;   6.1;   5.9;   5.8;   5.3;   4.2;   4.8;eor
       2565;1976012021;    5;   5.0;   5.4;   5.3;   5.2;   4.5;-999;eor
       2565;1976012107;    5;   2.8;   2.9;   3.3;   3.8;   4.6;-999;eor
       2565;1976012114;    5;   3.8;   3.6;   3.7;   3.7;   4.6;   5.0;eor
       2565;1976012121;    5;   3.1;   3.5;   3.7;   3.7;   4.4;-999;eor
       2565;1976012207;    5;   0.9;   1.5;   2.3;   2.9;   4.3;-999;eor
       2565;1976012214;    5;   2.6;   2.4;   2.5;   2.5;   4.1;   5.3;eor
       2565;1976012221;    5;   0.8;   1.3;   2.5;   2.6;   4.1;-999;eor
       2565;1976012307;    5;   0.4;   0.6;   1.1;   1.5;   3.7;-999;eor
       2565;1976012314;    5;   0.2;   0.4;   0.7;   1.4;   3.4;   5.2;eor
       2565;1976012321;    5;   0.1;   0.5;   0.7;   1.3;   3.4;-999;eor
       2565;1976012407;    5;  -0.6;  -0.2;   0.5;   1.1;   3.2;-999;eor
       2565;1976012414;    5;  -0.4;   0.0;   0.5;   1.1;   3.0;   5.0;eor
       2565;1976012421;    5;  -0.7;  -0.5;   0.2;   0.9;   2.8;-999;eor
       2565;1976012507;    5;  -0.9;  -0.7;   0.1;   0.9;   2.8;-999;eor
       2565;1976012514;    5;  -0.8;  -0.6;   0.1;   0.9;   2.8;   4.9;eor
       2565;1976012521;    5;  -0.6;  -0.2;   0.2;   0.8;   2.7;-999;eor
       2565;1976012607;    5;  -0.5;   0.0;   0.6;   0.9;   2.6;-999;eor
       2565;1976012614;    5;  -0.4;   0.2;   0.5;   0.9;   2.6;   4.8;eor
       2565;1976012621;    5;  -0.2;   0.0;   0.5;   0.9;   2.6;-999;eor
       2565;1976012707;    5;  -0.4;   0.0;   0.4;   0.8;   2.5;-999;eor
       2565;1976012714;    5;  -0.3;   0.1;   0.5;   0.8;   2.5;   4.6;eor
       2565;1976012721;    5;  -0.4;   0.0;   0.5;   0.8;   2.4;-999;eor
       2565;1976012807;    5;  -1.1;  -0.8;  -0.5;   0.7;   2.2;-999;eor
       2565;1976012814;    5;  -0.8;  -0.7;  -0.4;   0.7;   2.2;   4.4;eor
       2565;1976012821;    5;  -1.5;  -1.1;  -0.6;  -0.4;   2.2;-999;eor
       2565;1976012907;    5;  -2.4;  -1.2;  -0.8;  -0.4;   2.1;-999;eor
       2565;1976012914;    5;  -1.9;  -1.4;  -1.1;  -0.5;   2.1;   4.2;eor
       2565;1976012921;    5;  -2.0;  -1.5;  -1.2;  -0.6;   2.1;-999;eor
       2565;1976013007;    5;  -1.9;  -1.3;  -0.5;   0.1;   1.9;-999;eor
       2565;1976013014;    5;  -1.1;  -0.9;  -0.5;   0.0;   2.0;   4.2;eor
       2565;1976013021;    5;  -2.2;  -1.2;  -0.6;  -0.2;   1.8;-999;eor
       2565;1976013107;    5;  -3.4;  -2.0;  -1.1;  -0.1;   1.8;-999;eor
       2565;1976013114;    5;  -1.8;  -1.6;  -0.9;  -0.2;   1.8;   4.0;eor
       2565;1976013121;    5;  -2.5;  -1.8;  -1.1;  -0.3;   1.8;-999;eor
       2565;1976020107;    5;  -3.6;  -2.6;  -1.7;  -0.5;   1.4;-999;eor
       2565;1976020114;    5;  -1.6;  -1.8;  -1.7;  -0.5;   1.4;   3.6;eor
       2565;1976020121;    5;  -2.1;  -1.8;  -1.6;  -0.5;   1.4;-999;eor
       2565;1976020207;    5;  -3.8;  -2.9;  -2.1;  -0.7;   1.4;-999;eor
       2565;1976020214;    5;  -2.1;  -1.9;  -1.7;  -0.8;   1.4;   3.4;eor
       2565;1976020221;    5;  -2.4;  -2.0;  -1.7;  -0.8;   1.4;-999;eor
       2565;1976020307;    5;  -3.7;  -2.5;  -1.7;  -0.9;   1.3;-999;eor
