Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
6105;Ostenfeld (Rendsburg);V_TE005;31.10.2000-22:00;03.11.2000-06:00;6;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;06.05.2004-13:00;06.05.2004-13:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;06.05.2004-20:00;06.05.2004-20:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;12.05.2004-17:00;12.05.2004-17:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;18.05.2004-11:00;18.05.2004-11:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;24.05.2004-08:00;24.05.2004-08:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;25.05.2004-22:00;25.05.2004-22:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;31.05.2004-08:00;31.05.2004-08:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;01.06.2004-07:00;01.06.2004-07:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;01.06.2004-14:00;01.06.2004-14:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;01.06.2004-19:00;01.06.2004-19:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;01.06.2004-21:00;01.06.2004-21:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;02.06.2004-00:00;02.06.2004-00:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;02.06.2004-07:00;02.06.2004-07:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;02.06.2004-14:00;02.06.2004-14:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;02.06.2004-21:00;02.06.2004-21:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;03.06.2004-07:00;03.06.2004-07:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;03.06.2004-14:00;03.06.2004-14:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;03.06.2004-21:00;03.06.2004-21:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;04.06.2004-07:00;04.06.2004-07:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;04.06.2004-14:00;04.06.2004-14:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;04.06.2004-21:00;04.06.2004-21:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;05.06.2004-07:00;05.06.2004-07:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;05.06.2004-14:00;05.06.2004-14:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;05.06.2004-21:00;05.06.2004-21:00;1;;eor;                                                                                                                            
6105;Ostenfeld (Rendsburg);V_TE005;06.06.2004-00:00;06.06.2004-00:00;1;;eor;                                                                                                                            
