STATIONS_ID;MESS_DATUM;QN_2;V_TE002;V_TE005;V_TE010;V_TE020;V_TE050;V_TE100;eor
       5797;1995080107;    3;  -999;  19.6;  18.9;  20.8;  19.7;-999;eor
       5797;1995080114;    3;  -999;  31.7;  28.2;  22.8;  19.7;  16.8;eor
       5797;1995080121;    3;  -999;  23.6;  24.6;  24.4;  19.8;-999;eor
       5797;1995080207;    3;  -999;  18.8;  18.6;  20.8;  20.1;-999;eor
       5797;1995080214;    3;  -999;  31.4;  28.0;  22.8;  20.0;  17.0;eor
       5797;1995080221;    3;  -999;  23.0;  24.2;  24.2;  19.9;-999;eor
       5797;1995080307;    3;  -999;  17.2;  17.4;  20.4;  20.0;-999;eor
       5797;1995080314;    3;  -999;  31.8;  28.3;  22.8;  20.1;  17.1;eor
       5797;1995080321;    3;  -999;  24.3;  25.0;  24.6;  20.0;-999;eor
       5797;1995080407;    3;  -999;  20.0;  20.0;  21.8;  20.3;-999;eor
       5797;1995080414;    3;  -999;  32.8;  29.3;  23.7;  20.3;  17.3;eor
       5797;1995080421;    3;  -999;  24.5;  25.6;  25.3;  20.3;-999;eor
       5797;1995080507;    3;  -999;  19.2;  19.3;  21.6;  20.6;-999;eor
       5797;1995080514;    3;  -999;  33.5;  29.7;  23.8;  20.6;  17.3;eor
       5797;1995080521;    3;  -999;  25.0;  26.0;  25.7;  20.6;-999;eor
       5797;1995080607;    3;  -999;  19.5;  19.8;  22.2;  20.9;-999;eor
       5797;1995080614;    3;  -999;  35.0;  31.0;  24.6;  20.9;  17.7;eor
       5797;1995080621;    3;  -999;  26.2;  27.2;  26.4;  20.9;-999;eor
       5797;1995080707;    3;  -999;  20.9;  20.9;  22.9;  21.2;-999;eor
       5797;1995080714;    3;  -999;  31.9;  29.7;  24.7;  21.2;  17.8;eor
       5797;1995080721;    3;  -999;  24.8;  25.4;  25.4;  21.2;-999;eor
       5797;1995080807;    3;  -999;  17.9;  20.2;  22.4;  21.4;-999;eor
       5797;1995080814;    3;  -999;  28.8;  26.2;  23.2;  21.2;  17.9;eor
       5797;1995080821;    3;  -999;  21.9;  24.2;  24.5;  21.2;-999;eor
       5797;1995080907;    3;  -999;  18.3;  18.9;  21.4;  21.2;-999;eor
       5797;1995080914;    3;  -999;  30.6;  27.6;  23.1;  21.1;  18.0;eor
       5797;1995080921;    3;  -999;  21.6;  24.0;  24.5;  20.9;-999;eor
       5797;1995081007;    3;  -999;  16.1;  17.2;  20.8;  21.1;-999;eor
       5797;1995081014;    3;  -999;  32.0;  28.4;  23.0;  21.0;  18.0;eor
       5797;1995081021;    3;  -999;  22.4;  24.8;  24.9;  20.8;-999;eor
       5797;1995081107;    3;  -999;  16.8;  17.8;  21.2;  21.0;-999;eor
