Stations_id	von_datum	bis_datum	Stationshoehe	geoBreite	geoLaenge	Stationsname	Bundesland
3	19500401	20110331	202	507.827	60.941	Aachen	Nordrhein-Westfalen
44	20070401	20240126	44	529.336	82.370	Großenkneten	Niedersachsen
52	19760101	19880101	46	536.623	101.990	Ahrensburg-Wulfsdorf	Schleswig-Holstein
71	20091201	20191231	759	482.156	89.784	Albstadt-Badkap	Baden-Württemberg
73	20070401	20240126	374	486.183	130.620	Aldersbach-Kramersepp	Bayern
78	20041101	20240126	64	524.853	79.125	Alfhausen	Niedersachsen
91	20040901	20240126	300	507.446	93.450	Alsfeld-Eifa	Hessen
96	20190409	20240126	50	529.437	128.518	Neuruppin-Alt	Brandenburg
102	20020101	20240126	0	538.633	81.275	Leuchtturm	Niedersachsen
106	19990101	20061201	500	517.976	104.429	Altenau	Niedersachsen
125	19710104	20240126	742	478.342	108.667	Altenstadt	Bayern
131	20041101	20240126	296	510.881	129.326	Geringswalde-Altgeringswalde	Sachsen
142	19820101	20240126	511	484.060	113.117	Altomünster-Maisbrunn	Bayern
150	20050701	20240126	215	497.273	81.164	Alzey	Rheinland-Pfalz
151	20050301	20240126	382	494.691	118.546	Amberg-Unterammersricht	Bayern
154	20050301	20240126	516	480.197	122.925	Amerang-Pfaffing	Bayern
161	20110901	20240126	75	504.237	74.202	Andernach	Rheinland-Pfalz
164	19560101	20240126	54	530.316	139.908	Angermünde	Brandenburg
167	20040901	20240126	11	538.409	136.854	Anklam	Mecklenburg-Vorpommern
175	19550101	19751231	413	492.964	105.751	Ansbach	Bayern
181	19990928	20081103	30	528.761	115.042	Arendsee	Sachsen-Anhalt
183	19730101	20240126	42	546.791	134.344	Arkona	Mecklenburg-Vorpommern
191	20041104	20240126	217	499.694	99.114	Arnstein-Müdesheim	Bayern
198	19610101	20240126	164	513.744	112.920	Artern	Thüringen
217	20050101	20240126	670	478.774	113.643	Attenkam	Bayern
222	19820101	20240126	393	505.908	127.139	Aue	Sachsen
232	19550101	20240126	462	484.253	109.417	Augsburg	Bayern
257	20021101	20240126	240	487.270	82.457	Baden-Baden-Geroldsau	Baden-Württemberg
259	20040701	20240126	275	478.064	76.387	Müllheim	Baden-Württemberg
268	19960718	20081231	622	485.293	82.727	Baiersbronn-Obertal	Baden-Württemberg
282	19610101	20240126	240	498.743	109.206	Bamberg	Bayern
284	19470101	19550101	282	498.800	108.800	Bamberg	Bayern
294	20040701	20240126	110	523.199	94.300	Barsinghausen-Hohenbostel	Niedersachsen
298	19810101	20240126	3	543.405	127.108	Barth	Mecklenburg-Vorpommern
303	19930819	20240126	55	520.613	134.997	Baruth	Brandenburg
314	20040501	20240126	234	511.604	145.042	Kubschütz,	Sachsen
320	20060701	20240126	350	499.666	115.198	Heinersreuth-Vollhof	Bayern
326	20040701	20130708	120	517.204	80.577	Beckum-Unterberg	Nordrhein-Westfalen
330	20040801	20240126	455	495.617	89.673	Oberzent-Beerfelden	Hessen
342	20101201	20240126	103	523.170	81.694	Belm	Niedersachsen
348	19891215	20110901	127	504.135	75.886	Bendorf	Rheinland-Pfalz
350	19990601	19991231	540	516.715	107.268	Benneckenstein	Sachsen-Anhalt
361	19480101	19760101	550	476.344	130.109	Berchtesgaden	Bayern
368	20020101	20240126	69	528.152	99.248	Bergen	Niedersachsen
377	20041001	20240126	210	491.070	79.967	Bergzabern,	Rheinland-Pfalz
379	20170901	20240126	304	509.075	112.665	Berka,	Thüringen
390	20040701	20240126	610	509.837	83.683	Berleburg,	Nordrhein-Westfalen
399	19691201	20110801	36	525.198	134.057	Berlin-Alexanderplatz	Berlin
400	19910101	20240126	60	526.310	135.021	Berlin-Buch	Berlin
403	20020101	20240126	51	524.537	133.017	Berlin-Dahlem	Berlin
410	20040501	20200615	33	524.040	137.309	Berlin-Kaniswall	Berlin
420	20070801	20230806	61	525.447	135.598	Berlin-Marzahn	Berlin
424	19610101	19810101	36	525.000	134.667	Berlin-Ostkreuz	Berlin
427	19730101	20240126	46	523.807	135.306	Berlin	Brandenburg
430	19860101	20210505	36	525.644	133.088	Berlin-Tegel	Berlin
433	19510101	20240126	48	524.676	134.020	Berlin-Tempelhof	Berlin
445	20050701	20240126	85	518.218	117.110	Bernburg/Saale	Sachsen-Anhalt
450	20051101	20121204	120	499.186	70.664	Bernkastel-Kues	Rheinland-Pfalz
460	19610101	20240126	362	492.641	66.868	Berus	Saarland
474	19750601	19780601	599	481.252	97.639	Warthausen-Birkenhard	Baden-Württemberg
535	20040601	20240126	417	500.372	73.079	Blankenrath	Rheinland-Pfalz
553	19510101	19740901	25	518.380	66.107	Bocholt	Nordrhein-Westfalen
554	19740901	20060228	23	518.293	65.365	Bocholt-Liedern	Nordrhein-Westfalen
555	20080101	20240126	110	515.026	72.289	Bochum	Nordrhein-Westfalen
591	19730101	20240126	45	533.911	106.878	Boizenburg	Mecklenburg-Vorpommern
596	19730101	20240126	15	540.027	111.908	Boltenhagen	Mecklenburg-Vorpommern
598	19490101	19570101	62	507.285	70.839	Bonn	Nordrhein-Westfalen
