Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;lat;lon
3;19500401;20110331;202;507.827;60.941;Aachen;Nordrhein-Westfalen;50.7827;6.0941
44;20070401;20240126;44;529.336;82.370;Großenkneten;Niedersachsen;52.9336;8.237
52;19760101;19880101;46;536.623;101.990;Ahrensburg-Wulfsdorf;Schleswig-Holstein;53.6623;10.199
71;20091201;20191231;759;482.156;89.784;Albstadt-Badkap;Baden-Württemberg;48.2156;8.9784
73;20070401;20240126;374;486.183;130.620;Aldersbach-Kramersepp;Bayern;48.6183;13.062
78;20041101;20240126;64;524.853;79.125;Alfhausen;Niedersachsen;52.4853;7.9125
91;20040901;20240126;300;507.446;93.450;Alsfeld-Eifa;Hessen;50.7446;9.345
96;20190409;20240126;50;529.437;128.518;Neuruppin-Alt;Brandenburg;52.9437;12.8518
102;20020101;20240126;0;538.633;81.275;Leuchtturm;Niedersachsen;53.8633;8.1275
106;19990101;20061201;500;517.976;104.429;Altenau;Niedersachsen;51.7976;10.4429
125;19710104;20240126;742;478.342;108.667;Altenstadt;Bayern;47.8342;10.8667
131;20041101;20240126;296;510.881;129.326;Geringswalde-Altgeringswalde;Sachsen;51.0881;12.9326
142;19820101;20240126;511;484.060;113.117;Altomünster-Maisbrunn;Bayern;48.406;11.3117
150;20050701;20240126;215;497.273;81.164;Alzey;Rheinland-Pfalz;49.7273;8.1164
151;20050301;20240126;382;494.691;118.546;Amberg-Unterammersricht;Bayern;49.4691;11.8546
154;20050301;20240126;516;480.197;122.925;Amerang-Pfaffing;Bayern;48.0197;12.2925
161;20110901;20240126;75;504.237;74.202;Andernach;Rheinland-Pfalz;50.4237;7.4202
164;19560101;20240126;54;530.316;139.908;Angermünde;Brandenburg;53.0316;13.9908
167;20040901;20240126;11;538.409;136.854;Anklam;Mecklenburg-Vorpommern;53.8409;13.6854
175;19550101;19751231;413;492.964;105.751;Ansbach;Bayern;49.2964;10.5751
181;19990928;20081103;30;528.761;115.042;Arendsee;Sachsen-Anhalt;52.8761;11.5042
183;19730101;20240126;42;546.791;134.344;Arkona;Mecklenburg-Vorpommern;54.6791;13.4344
191;20041104;20240126;217;499.694;99.114;Arnstein-Müdesheim;Bayern;49.9694;9.9114
198;19610101;20240126;164;513.744;112.920;Artern;Thüringen;51.3744;11.292
217;20050101;20240126;670;478.774;113.643;Attenkam;Bayern;47.8774;11.3643
222;19820101;20240126;393;505.908;127.139;Aue;Sachsen;50.5908;12.7139
232;19550101;20240126;462;484.253;109.417;Augsburg;Bayern;48.4253;10.9417
